,date,borough,daily_call_vol,mean_severity_level,max_severity_level,min_severity,day_of_week,is_weekend,is_holiday,lag_1,lag_7,precp,snowfall,temp
0,2024-07-01,Bronx,1039,4.21655437921078,1,8,0,0,0,1021.5570469798657,1020.5616438356165,0.4,0.0,70.34
1,2024-07-02,Bronx,950,4.1957894736842105,1,8,1,0,0,1039.0,1020.5616438356165,0.0,0.0,71.87
2,2024-07-03,Bronx,1002,4.229540918163672,1,8,2,0,0,950.0,1020.5616438356165,0.0,0.0,71.87
3,2024-07-04,Bronx,907,4.0606394707828,1,8,3,0,1,1002.0,1020.5616438356165,1.3,0.0,75.47
4,2024-07-05,Bronx,1099,4.27024567788899,1,8,4,0,0,907.0,1020.5616438356165,15.6,0.0,78.71
5,2024-07-06,Bronx,1049,4.201143946615825,1,8,5,1,0,1099.0,1020.5616438356165,1.3,0.0,80.51
6,2024-07-07,Bronx,1009,4.1397423191278495,1,8,6,1,0,1049.0,1020.5616438356165,0.5,0.0,81.14
7,2024-07-08,Bronx,1134,4.1948853615520285,1,7,0,0,0,1009.0,1039.0,0.0,0.0,82.04
8,2024-07-09,Bronx,1106,4.24502712477396,1,7,1,0,0,1134.0,950.0,0.0,0.0,79.97
9,2024-07-10,Bronx,1144,4.270104895104895,1,8,2,0,0,1106.0,1002.0,0.2,0.0,81.5
10,2024-07-11,Bronx,1040,4.275961538461538,1,8,3,0,0,1144.0,907.0,5.2,0.0,83.12
11,2024-07-12,Bronx,1021,4.241919686581783,1,7,4,0,0,1040.0,1099.0,14.8,0.0,77.0
12,2024-07-13,Bronx,995,4.217085427135679,1,8,5,1,0,1021.0,1049.0,25.6,0.0,78.62
13,2024-07-14,Bronx,1070,4.254205607476636,1,8,6,1,0,995.0,1009.0,0.2,0.0,79.25
14,2024-07-15,Bronx,1230,4.162601626016261,1,8,0,0,0,1070.0,1134.0,1.6,0.0,82.03999999999999
15,2024-07-16,Bronx,1088,4.215992647058823,1,8,1,0,0,1230.0,1106.0,0.2,0.0,83.12
16,2024-07-17,Bronx,1083,4.249307479224377,1,8,2,0,0,1088.0,1144.0,24.1,0.0,80.87
17,2024-07-18,Bronx,1029,4.1943634596695825,1,8,3,0,0,1083.0,1040.0,2.1,0.0,78.17
18,2024-07-19,Bronx,1059,4.1312559017941455,1,8,4,0,0,1029.0,1021.0,0.0,0.0,73.75999999999999
19,2024-07-20,Bronx,994,4.229376257545272,1,8,5,1,0,1059.0,995.0,0.7,0.0,73.49
20,2024-07-21,Bronx,1091,4.297891842346471,1,8,6,1,0,994.0,1070.0,0.1,0.0,77.9
21,2024-07-22,Bronx,1137,4.186455584872472,1,8,0,0,0,1091.0,1230.0,3.3,0.0,76.19
22,2024-07-23,Bronx,1002,4.243512974051896,1,7,1,0,0,1137.0,1088.0,2.7,0.0,76.19
23,2024-07-24,Bronx,1033,4.2216844143272025,1,8,2,0,0,1002.0,1083.0,6.3,0.0,76.73
24,2024-07-25,Bronx,1065,4.303286384976526,1,8,3,0,0,1033.0,1029.0,0.1,0.0,77.18
25,2024-07-26,Bronx,949,4.30031612223393,1,8,4,0,0,1065.0,1059.0,0.0,0.0,74.3
26,2024-07-27,Bronx,980,4.272448979591837,1,7,5,1,0,949.0,994.0,0.0,0.0,74.48
27,2024-07-28,Bronx,1002,4.1467065868263475,1,7,6,1,0,980.0,1091.0,0.0,0.0,75.92
28,2024-07-29,Bronx,1077,4.319405756731662,1,7,0,0,0,1002.0,1137.0,3.8,0.0,76.37
29,2024-07-30,Bronx,1014,4.346153846153846,1,8,1,0,0,1077.0,1002.0,0.0,0.0,78.44
30,2024-07-31,Bronx,1018,4.221021611001965,1,8,2,0,0,1014.0,1033.0,17.3,0.0,79.25
31,2024-08-01,Bronx,1058,4.176748582230624,1,8,3,0,0,1018.0,1065.0,0.2,0.0,81.32
32,2024-08-02,Bronx,1103,4.233907524932004,1,8,4,0,0,1058.0,949.0,2.9,0.0,81.95
33,2024-08-03,Bronx,993,4.168177240684794,1,8,5,1,0,1103.0,980.0,5.9,0.0,82.49
34,2024-08-04,Bronx,941,4.253985122210414,1,9,6,1,0,993.0,1002.0,3.7,0.0,77.99000000000001
